"top10_sales","top10_product_names","private_label","brand","date_most_sold","private_label_logical","log_sales","obs_number"
163608,"Bio-Kaisersemmel","private label","Ja! Natürlich",2023-05-24,TRUE,12.0052286017107,1
126687,"Laktosefreie Bio-Vollmilch","private label","Ja! Natürlich",2023-06-23,TRUE,11.7494747564673,2
120480,"Ottakringer Helles","national brand","Ottakringer",2023-09-01,FALSE,11.6992390430337,3
110022,"Milka Ganze Haselnüsse","national brand","Milka",2023-06-30,FALSE,11.6084356247772,4
108630,"Bio-Toastkäse Scheiben","private label","Ja! Natürlich",2023-05-05,TRUE,11.5957028914278,5
95639,"Ottakringer Bio Zwickl","national brand","Ottakringer",2023-06-09,FALSE,11.4683359656414,6
94690,"Vienna Coffee House Espresso","national brand","Julius Meinl",2023-07-14,FALSE,11.4583636769775,7
89011,"Bio-Mozzarella","private label","Ja! Natürlich",2023-06-16,TRUE,11.3965152365826,8
87869,"Basmati Reis","private label","Billa Bio",2023-05-18,TRUE,11.3836023479767,9
85599,"Bananen","private label","Clever",2023-05-19,TRUE,11.3574288798186,10
