"top10_sales","top10_product_names","private_label","top10_brand","date_most_sold","private_label_logical"
163608,"Bio-Kaisersemmel","private label","Ja! Natürlich",2023-05-24,TRUE
126687,"Laktosefreie Bio-Vollmilch","private label","Ja! Natürlich",2023-06-23,TRUE
120480,"Ottakringer Helles","national brand","Ottakringer",2023-09-01,FALSE
110022,"Milka Ganze Haselnüsse","national brand","Milka",2023-06-30,FALSE
108630,"Bio-Toastkäse Scheiben","private label","Ja! Natürlich",2023-05-05,TRUE
95639,"Ottakringer Bio Zwickl","national brand","Ottakringer",2023-06-09,FALSE
94690,"Vienna Coffee House Espresso","national brand","Julius Meinl",2023-07-14,FALSE
89011,"Bio-Mozzarella","private label","Ja! Natürlich",2023-06-16,TRUE
87869,"Basmati Reis","private label","Billa Bio",2023-05-18,TRUE
85599,"Bananen","private label","Clever",2023-05-19,TRUE
